Link,Text
https://www.coventry.gov.uk/a-to-z/service/87/abandoned-vehicles,  We inspect and remove abandoned vehicles from the streets of Coventry. It is illegal to abandon a vehicle and we class an abandoned vehicle as one that has been left by the owner / registered keeper  with no intention to recover or accept responsibility for it. We have a duty to remove an abandoned vehicle. Trailers and caravans that would normally be attached to a vehicle can also be classed as abandoned vehicles. 
https://www.coventry.gov.uk/a-to-z/service/847/abuse-children," Any bruising to a baby - pre-walking stage Multiple bruising to different parts of the body Bruising of different colours, showing repeated injuries Fingertip-shaped bruising to the chest, back, arms or legs Burns of any shape or size An injury for which there is no proper explanation Something a child has told you Something a child has told someone else A child who shows worrying sexualised behaviour in their play or with other children A child who seems to have unsuitable sexual knowledge for their age A child who may be visiting or being looked after by a known or suspected sexual offender Children whose behaviour is excessive. For example, excessive bedwetting, overeating, rocking, headbanging. Children who self harm. For example, they may cut or scratch themselves or overdose. Children who attempt suicide Children who persistently run away from home Children who show high levels of anxiety, unhappiness or withdrawal Children who usually seek out or avoid affection. Squalid, unhygienic or dangerous home conditions Parents who fail to attend to their children's health or development needs Children who appear persistently undersized or underweight Children who continually appear tired or lacking in energy Children who suffer frequent injuries due to lack of supervision. Call Childline on 0800 1111 Call the NSPCC Helpline on 0808 800 5000 Check Coventry CSCP procedures  We all have a responsibility to make sure children and young people are safe from harm or abuse. If you have any suspicion, or information, suggesting a child is being harmed, don't ignore it. You can always ask for advice if you are not sure about a situation. The information below may help if you think a child or young person is being harmed. The following signs may be present in children whose parents are over-critical and emotionally distant, or who are unable to meet their child's emotional needs: If you wish to report a matter to the police, call 101 and state your concerns.
If you wish to report an emergency matter always dial 999.
Social worker (out of office hours): 024 7683 2222. If there is no immediate danger or you need advice or information, you should call the Multi-Agency Safeguarding Hub on 024 7678 8555. If you want to discuss your concerns or need advice e.g. if you are not sure whether your concerns are justified, you would like more information about issues like confidentiality or you would like to know what happens next (after you have reported your concerns), do one of the following: To make a referral, please complete the multi-agency referral form. Example of a completed multi-agency referral form. The Prevent Duty requires that if there are concerns that an individual may be vulnerable to radicalisation around violent extremism then these concerns need to be shared so that appropriate support is provided in order to safeguard those individuals. A partnership referral form has been prepared to make sure that it is easier to outline and submit the referrals. 
To make a Prevent referral for a child or young person a referral form needs to be completed. Coventry Safeguarding Children Partnership (CSCP) has produced new Right Help Right Time Guidance. The guidance helps practitioners to understand and assess risk consistently and appropriately so that children and families can receive the right help at the right time. It will help professionals to identify the support that a child, young person or family might need and how best this support can be provided. It replaces all previous threshold guidance or levels of need documents. "
https://www.coventry.gov.uk/a-to-z/service/403/accessibility-website," change colours, contrast levels and fonts zoom in up to 300% without the text spilling off the screen navigate most of the website using just a keyboard navigate most of the website using speech recognition software listen to most of the website using a screen reader (including the most recent versions of JAWS, NVDA and VoiceOver) most older PDF documents are not fully accessible to screen reader software live video streams do not have captions you cannot skip to the main content when using a screen reader the image highlighting our online chat availability does not have alt text associated with it. email communications@coventry.gov.uk call 024 7697 8000 Some of our historic PDFs and Word documents. training for staff on how to create accessible pages and documents ongoing monitoring of accessibility issues using automated testing via SiteImprove weekly accessibility reports and schedule of changes  This accessibility statement applies to www.coventry.gov.uk. This website is run by Coventry City Council. We want as many people as possible to be able to use this website. For example, that means you should be able to: We’ve also made the website text as simple as possible to understand. AbilityNet has advice on making your device easier to use if you have a disability. We also have the ReachDeck supportive toolbar enabled. The toolbar provides speech, reading, and translation support tools and makes online content more accessible for people with Dyslexia, Low Literacy, English as a Second Language, and those with mild visual impairments. We know some parts of this website are not fully accessible: If you need information on this website in a different format like accessible PDF, large print, easy read, audio recording or braille: We’ll consider your request and get back to you in 15 working days. We’re always looking to improve the accessibility of this website. If you find any problems not listed on this page or think we’re not meeting accessibility requirements, email our E-Communications team webeditors@coventry.gov.uk. The Equality and Human Rights Commission (EHRC) is responsible for enforcing the Public Sector Bodies (Websites and Mobile Applications) (No. 2) Accessibility Regulations 2018 (the ‘accessibility regulations’). If you’re not happy with how we respond to your complaint, contact the Equality Advisory and Support Service (EASS). Coventry City Council is committed to making its website accessible, in accordance with the Public Sector Bodies (Websites and Mobile Applications) (No. 2) Accessibility Regulations 2018. This website is partially compliant with the Web Content Accessibility Guidelines version 2.1 AA standard. The content listed below is non-accessible for the following reasons. The accessibility regulations do not require us to fix PDFs or other documents published before 23 September 2018 if they’re not essential to providing our services. Any new PDFs or Word documents we publish will meet accessibility standards. We do not plan to add captions to live video streams because live video is exempt from meeting the accessibility regulations. We are doing a number of things to improve our website accessibility: This statement was prepared on 10 August 2020. It was last reviewed on 7 September 2023. This website was last tested on 7 September 2023. The test was carried out by SiteImprove which tested all pages within www.coventry.gov.uk. Our current score is 89.1%. The current industry benchmark for Government sites is 87.5%. "
https://www.coventry.gov.uk/a-to-z/service/534/accounts-inspection," Statement of Accounts for 2020-21 (Draft) – subject to audit and public inspection. Public inspection notice You can also download the Statement of Accounts for previous years.  The Council's Statement of Accounts is prepared in accordance with the Code of Practice on local authority accounting in the United Kingdom. Delays in the completion of the audit of previous years’ accounts, most notably in relation to 2019-20, has had implications for the following years. The Council has published its 2020-21 draft accounts, see above, and is currently preparing the accounts for 2021-22, 2022-23 and 2023-24. Once completed, these accounts will also be published in draft form and will then be available for public inspection and be subject to audit. "
https://www.coventry.gov.uk/a-to-z/service/876/address-change, Council Tax Electoral roll Housing benefit and Council Tax support Libraries  When you move home you will need to contact some or all of the following departments to update your address details: 
https://www.coventry.gov.uk/a-to-z/service/49/adoption," enquiries@aceadoption.com 0300 369 0556 Follow us on Home Categories
SupportResourcesEventsFamiliesReal life storiesSteps to adoptionSupport for adoptive familiesSupport for adopted young peopleTraining First-hand information about the children who need families gained through our close working relationships with 5 local authority Children’s Services We are committed to fostering for adoption, an arrangement whereby children may be living with their adoptive parents on a fostering basis in the first instance. This means that children can often live with their prospective adoptive parents from a very young age without having to move between families ACE is the only DDP certified adoption service in the world! This means that we embrace the principles and practices of Dyadic Developmental Psychotherapy (DDP).          © ACE Adoption. All rights reserved. Design: HTML5 UP Privacy policy | Disclaimer | Accessibility | Contact us | Update cookies preferences    Launched on 1 February 2018, ACE has been a regional adoption agency for the local authority areas of Coventry, Herefordshire, Solihull, Warwickshire, and Worcestershire for more than 5 years. Our central purpose is finding the right families for children needing permanent homes through adoption and our overarching aim is to provide a relationship-focussed service for children, adoptive families and others affected by adoption. We achieve this by offering lifelong support, based on up-to-date practices and interventions, supported by modern technology We aim to recognise and value people’s differences and to provide services that are welcoming and respectful. ACE welcomes enquiries about any aspect of adoption from all sections of the community. An established service, ACE has successfully found homes for many children who need families. ACE approves on average 80 adoptive families a year and successfully places in the region of 100-120 children for adoption annually - some will be brothers and sisters who need to stay together. ACE is keen to recruit more families so that children do not have to wait for a family and the best possible ‘family match’ can be found. We believe that there are many advantages to adopting through a regional adoption agency such as ACE. These are: Together we build strong families by promoting adoption as a positive outcome for children who cannot remain in their birth families. Please email enquiries@aceadoption.com if you require further assistance or advice or ring 0300 369 0556.     "
https://www.coventry.gov.uk/a-to-z/service/211/adult-education,  
https://www.coventry.gov.uk/a-to-z/service/89/air-pollution," Walking, cycling or taking public transport. Make use of the park and ride facilities in Coventry If you use your car try and share the journey with others. Using a car club If you must drive use the eco driving principles choose paints and wood preservatives that are marked as containing low VOC content. avoid having garden bonfires. As well as annoying your neighbours, bonfires release poisonous gases and particulates which add to local air pollution and global warming.  Compost and recycle your garden waste. See our bonfires page for information on composting and the legal action that can be taken for smoke nuisances. Please see the Burnright website for more information about using your fire correctly. This includes advice on choosing the right fuel, what not to burn and how to use your fire or woodburning stove.  Whilst air quality has undoubtedly improved in recent decades, with changing industrial practices and a decline in the use of fossil fuel both domestically and industrially, we still exceed the National Objective for NO2 levels at a number of locations within Coventry. Transport accounts for 49 per cent of UK NO2 emissions in 2016 and the rate of reduction from this sector has slowed down (Nitrogen Dioxide in the United Kingdom Summary, Air Quality Expert Group, 2004). This is due, in part, to the prevalence of diesel vehicles and congestion. View the GHG and energy datasets produced under the National Atmospheric Emissions Inventory. Air pollution adversely affects the health of people at all stages of life, from childhood (including effects on the unborn child in the womb) through to older age. It contributes to the development or exacerbation of a range of health conditions, and is the largest environmental risk to public health, increasing the chances of people needing to access health services, particularly those people with respiratory and cardiovascular illness. Poor air quality affects everyone, especially the young, the old, those with long-term health conditions and those living in more deprived areas. (Air Quality: A Briefing for Directors of Public Health (2017) - DEFRA, Public Health England, Local Government Association). Emissions from various forms of transport are a significant contributor to poor air quality within areas of Coventry, and a city-wide Air Quality Management Area is in place. This page sets out the plans that are being put in place to reduce vehicle emissions to meet the City Council's commitment to improving air quality throughout the city. Air quality within Coventry is monitored by the Council's Environmental Protection Team. In July 2017, the Government published the ""United Kingdom Plan for tackling roadside nitrogen dioxide (NO2) concentrations"". Within this, Coventry was named as one of 28 towns and cities in England where NO2 levels are forecast to exceed legal limits in 2021. The Council has worked closely with the Government's Joint Air Quality Unit (JAQU) to develop a plan to achieve the legal limits for NO2 within Coventry in the shortest possible time. You can see more detail about this in the Local Air Quality Action Plan page. We are doing lots of things to help improve air quality in the city. You can find out more about each of the initiatives below by clicking on the title links. Coundon Cycleway We are building 2.75km of two-way, fully segregated cycleway along the Coundon Road/Barker’s Butts Lane corridor linking the city centre with Coundon Green. Binley Cycleway A 6km (3.75 mile) long segregated cycleway from the city centre to University Hospital Coventry and Warwickshire via Binley Business Park. Electric Vehicle Charging Points We have a network of electric vehicle charging points across the city for individuals and businesses Electric fleet first - try before you buy scheme Coventry City Council is gearing up for the start of the Electric Fleet First project. Thanks to funding from Highways England, this will enable us to provide electric vehicles for local organisations to trial. The two-year project will support efforts to reduce NO2 emissions on the local and strategic road network by encouraging businesses to switch to electric vans, pool cars and taxis. Mobility Credits In a national first, Coventry residents with an older, polluting car can exchange their car for £3000 of mobility credits. Very Light Rail Coventry Very Light Rail (VLR) is a research and development project, using the latest automotive expertise developed in the region to deliver an innovative and affordable light rail system. Electric Buses Coventry will be the first city in the country to host all electric buses. The target date is by 2025. Cycling initiatives We have a number of initiatives to help people cycle more. Anyone can make a difference by just making small changes to their everyday routines, The Clean Air Hub has everything you need to know about air pollution in one place. Road traffic is a major source of air pollution in Coventry. You can help reduce this impact by: Further advice is available from the Clear Air Hub website. "
https://www.coventry.gov.uk/a-to-z/service/89/air-quality," Walking, cycling or taking public transport. Make use of the park and ride facilities in Coventry If you use your car try and share the journey with others. Using a car club If you must drive use the eco driving principles choose paints and wood preservatives that are marked as containing low VOC content. avoid having garden bonfires. As well as annoying your neighbours, bonfires release poisonous gases and particulates which add to local air pollution and global warming.  Compost and recycle your garden waste. See our bonfires page for information on composting and the legal action that can be taken for smoke nuisances. Please see the Burnright website for more information about using your fire correctly. This includes advice on choosing the right fuel, what not to burn and how to use your fire or woodburning stove.  Whilst air quality has undoubtedly improved in recent decades, with changing industrial practices and a decline in the use of fossil fuel both domestically and industrially, we still exceed the National Objective for NO2 levels at a number of locations within Coventry. Transport accounts for 49 per cent of UK NO2 emissions in 2016 and the rate of reduction from this sector has slowed down (Nitrogen Dioxide in the United Kingdom Summary, Air Quality Expert Group, 2004). This is due, in part, to the prevalence of diesel vehicles and congestion. View the GHG and energy datasets produced under the National Atmospheric Emissions Inventory. Air pollution adversely affects the health of people at all stages of life, from childhood (including effects on the unborn child in the womb) through to older age. It contributes to the development or exacerbation of a range of health conditions, and is the largest environmental risk to public health, increasing the chances of people needing to access health services, particularly those people with respiratory and cardiovascular illness. Poor air quality affects everyone, especially the young, the old, those with long-term health conditions and those living in more deprived areas. (Air Quality: A Briefing for Directors of Public Health (2017) - DEFRA, Public Health England, Local Government Association). Emissions from various forms of transport are a significant contributor to poor air quality within areas of Coventry, and a city-wide Air Quality Management Area is in place. This page sets out the plans that are being put in place to reduce vehicle emissions to meet the City Council's commitment to improving air quality throughout the city. Air quality within Coventry is monitored by the Council's Environmental Protection Team. In July 2017, the Government published the ""United Kingdom Plan for tackling roadside nitrogen dioxide (NO2) concentrations"". Within this, Coventry was named as one of 28 towns and cities in England where NO2 levels are forecast to exceed legal limits in 2021. The Council has worked closely with the Government's Joint Air Quality Unit (JAQU) to develop a plan to achieve the legal limits for NO2 within Coventry in the shortest possible time. You can see more detail about this in the Local Air Quality Action Plan page. We are doing lots of things to help improve air quality in the city. You can find out more about each of the initiatives below by clicking on the title links. Coundon Cycleway We are building 2.75km of two-way, fully segregated cycleway along the Coundon Road/Barker’s Butts Lane corridor linking the city centre with Coundon Green. Binley Cycleway A 6km (3.75 mile) long segregated cycleway from the city centre to University Hospital Coventry and Warwickshire via Binley Business Park. Electric Vehicle Charging Points We have a network of electric vehicle charging points across the city for individuals and businesses Electric fleet first - try before you buy scheme Coventry City Council is gearing up for the start of the Electric Fleet First project. Thanks to funding from Highways England, this will enable us to provide electric vehicles for local organisations to trial. The two-year project will support efforts to reduce NO2 emissions on the local and strategic road network by encouraging businesses to switch to electric vans, pool cars and taxis. Mobility Credits In a national first, Coventry residents with an older, polluting car can exchange their car for £3000 of mobility credits. Very Light Rail Coventry Very Light Rail (VLR) is a research and development project, using the latest automotive expertise developed in the region to deliver an innovative and affordable light rail system. Electric Buses Coventry will be the first city in the country to host all electric buses. The target date is by 2025. Cycling initiatives We have a number of initiatives to help people cycle more. Anyone can make a difference by just making small changes to their everyday routines, The Clean Air Hub has everything you need to know about air pollution in one place. Road traffic is a major source of air pollution in Coventry. You can help reduce this impact by: Further advice is available from the Clear Air Hub website. "
https://www.coventry.gov.uk/a-to-z/service/421/alcohol-advice-and-support," Break drug supply chains Deliver a world class treatment and recovery system Achieve a shift in the demand for drugs Reduce Drug and Alcohol related crimes Reduce Drug and Alcohol supply Reduce overall Drug and Alcohol use Reduce Drug and Alcohol-related harms and deaths Increase engagement in Drug and Alcohol treatment Improve long-term recovery Refer yourself or somebody else to CGL here Refer yourself or somebody else to Positive Choices Here Alcohol Units Alcohol Support Tips on cutting down Alcohol Drinkchat - uses trained professionals from the national alcohol support helpline, Drinkline. You can have a web chat with someone at Drinkchat between 9am-2pm on weekdays. Drinkline – Speak to someone at drinkline on 0300 123 1110 (Weekdays 9am – 8pm, Weekends 11am – 4pm) Heroin Addiction Cocaine Addiction FRANK A-Z of drugs FRANK - Feeling pressured to take drugs? FRANK - Advice for parents and carers who are concerned about a child. For friendly, confidential advice call FRANK 24 hours 7 days a week on 0300 123 6600 or text FRANK 82111.  The National Government published “From Harm to Hope”, which is a 10-year plan to cut crime and save lives by reducing the supply and demand for drugs and delivering a high-quality treatment and recovery system. The plan is aiming to: You can view the full plan at: From harm to hope: A 10-year drugs plan to cut crime and save lives Locally Coventry has its own strategy with our vision for people in Coventry to live their lives free from the harms associated with substance abuse. Our six key priorities are: See the Strategy Summary - Coventry Drug and Alcohol Strategy Summary 2023 - 2033 You can view the full Strategy - Coventry Drug and Alcohol Strategy 2023 - 2033 Drug and Alcohol Support Available in Coventry: Change Grow Live (CGL) Coventry:  Offer information, advice and guidance to anybody who is looking to make a change around their use of Drugs or Alcohol. For more information call CGL on 024 7601 0241 or email them on coventry.info.cgl.org.uk. CGL Coventry is based at 1 Lamb Street, Coventry City Centre, CV1 4AE. Positive Choices Coventry: Coventry’s Young Person’s service supports individuals aged 18 and younger and will offer advice and support around drinking and drugs, relationships, and sexual health. For more information call Positive Choices on 024 7655 3130 or email them on coventryyp.infor@cgl.org.uk Healthy Lifestyles Coventry: Proves advice and coaching for individuals looking at cutting down or stopping drinking alcohol. For more information call HLC on 0800 122 3780 or email them on info@hlscoventry.org. HLS Coventry is based on the 2nd Floor, John Sinclair House, Canal Basin, Coventry CV1 4LY. Wider Information and Advice for Alcohol: NHS Alcohol Advice – Advice and support for reducing the amount of alcohol you drink. Drinkaware - Help with learning about the impact of alcohol on you, your family or friends Alcoholics Anonymous - AA is focused solely on the persona; recovery and continued sobriety of individual alcoholics who turn to the fellowship for help. If you need help with a drinking problem either phone the national helpline on 08—9177 650 or email help@aamail.org Wider Information and Advice for Drug Use: NHS Drug Addiction: Getting Help – If you need treatment for a drug addiction, you’re entitled to NHS care in the same way as anyone else who has a health problem. Adfam - Adfam is a national charity who are tackling the negative effects of drugs and alcohol on family members and friends. FRANK – Friendly, confidential drugs advice. FRANK is a national drug education service, and it aims to reduce the abuse of all drug use. It provides the facts and figures to adults and young people about the harms of drug use. "
